app_name,count,min,Quartile1,std,Quartile3,median,max,mean
Amazon Mobile (Mobile App),828,30.0888,49.28175,84.11488427633665,167.3595,86.5809,357.8526,119.5058184782605
Amazon Music with Prime Music (Mobile App),126,32.2812,53.9784,122.79829577653398,210.8295,98.0343,477.7164,147.70920000000007
Facebook (Mobile App),1911,30.618000000000002,925.8543,1683.8628938391164,3679.3197,2307.0474,5995.2312,2420.18624175822
Facebook Messenger (Mobile App),1912,30.618000000000002,428.6898,1138.9054914517321,2101.08465,1172.6883,4386.312,1396.5539563807638
Google Play (Mobile App),1844,30.0132,53.51535,109.9660160307511,162.72899999999998,86.2407,601.7382,127.65534549891616
Google Search (Mobile App),1747,30.0132,106.2747,365.273922872049,432.5265,219.7314,1990.3968,345.80822610189165
GroupMe (Mobile App),92,30.5424,57.6828,86.11198089943551,190.40804999999997,102.9672,329.994,131.11751739130432
Instagram (Mobile App),1092,30.0132,111.48165,447.59048719459946,728.8407,252.44729999999998,1724.3226,465.3087403846169
Kindle (Mobile App),129,30.9204,51.2568,397.40826967593586,482.895,168.399,1641.2382,344.9012651162791
Microsoft Word (Mobile App),72,30.6558,34.93665,18.60389758111812,56.41649999999999,45.5679,103.2318,50.13224999999997
Netflix (Mobile App),433,30.429000000000002,78.7374,538.4443855131204,608.769,207.5598,2393.0802,457.8597020785227
Outlook (Mobile App),211,30.1266,69.8733,152.75853217105657,300.132,129.6162,586.0512,195.71890521327006
Pinterest (Mobile App),533,30.3156,86.0706,172.3630327765241,314.1558,133.434,715.365,211.68847485928714
Sam's Club (Mobile App),2,42.0714,46.078199999999995,11.332941803433037,54.09179999999999,50.084999999999994,58.0986,50.084999999999994
Sam's Club Scan & Go (Mobile App),7,33.641999999999996,37.4598,10.284680053360924,43.3566,38.367,63.7686,42.487199999999994
Snapchat (Mobile App),823,30.1266,113.4945,321.83247244922256,537.327,214.4016,1250.046,359.98088238153
Tumblr (Mobile App),150,30.3156,159.25140000000002,552.3466035739995,733.3011,302.3055,2255.2236,537.8509080000003
Walmart (Mobile App),602,30.051,40.0302,35.67875708454464,91.7406,61.3494,156.4164,70.68355116279044
Yahoo Mail (Mobile App),396,30.429000000000002,99.55574999999999,185.19718709380797,376.41240000000005,177.9435,724.2858,248.29521818181792
Yahoo Newsroom (Mobile App),45,30.0888,58.023,105.41108346253814,179.5878,99.225,432.0918,132.17148
YouTube (Mobile App),1755,30.0888,110.3193,573.9490560939275,715.554,263.1258,2497.5216,520.1034676923058
