app_name,gender_id,count,min,std,median,max,mean
Amazon Mobile (Mobile App),1.0,304,30.2022,84.44377051861719,92.988,349.9524,121.03684342105267
Amazon Mobile (Mobile App),2.0,524,30.0888,83.99149910445769,84.9744,357.8526,118.61759026717561
Amazon Music with Prime Music (Mobile App),1.0,37,33.2262,121.13767466480309,110.0358,443.583,158.79473513513514
Amazon Music with Prime Music (Mobile App),2.0,89,32.2812,123.8682583540177,95.8986,477.7164,143.100606741573
Facebook (Mobile App),1.0,718,34.9272,1705.7870249919852,2327.5539,5986.6884,2453.1859378830136
Facebook (Mobile App),2.0,1193,30.618000000000002,1670.934142942844,2291.3226,5995.2312,2400.3255696563315
Facebook Messenger (Mobile App),1.0,683,30.618000000000002,1153.8534338678373,1185.8238,4386.312,1415.9779273792083
Facebook Messenger (Mobile App),2.0,1229,30.6936,1130.8411543396542,1170.3636,4378.0338,1385.7593492270116
Google Play (Mobile App),1.0,682,30.0132,105.79505807972114,85.63589999999999,598.4496,128.69819208211138
Google Play (Mobile App),2.0,1162,30.0132,112.38235019951874,86.7132,601.7382,127.04327891566349
Google Search (Mobile App),1.0,637,30.051,370.22688481505986,226.044,1852.8804,359.07958681318644
Google Search (Mobile App),2.0,1110,30.0132,362.3492184429058,212.058,1990.3968,338.19213891891843
GroupMe (Mobile App),1.0,26,34.6248,79.9507906472864,99.18719999999999,329.994,125.95686923076923
GroupMe (Mobile App),2.0,66,30.5424,88.9270595048964,104.1012,326.0628,133.1505
Instagram (Mobile App),1.0,395,30.0132,441.7686724437078,246.2481,1711.4328,445.2842392405061
Instagram (Mobile App),2.0,697,30.0132,450.77665906635696,264.789,1724.3226,476.6569153515077
Kindle (Mobile App),1.0,54,30.9204,434.882309726076,227.4993,1632.7332,402.4845999999999
Kindle (Mobile App),2.0,75,31.1094,365.46882704564285,155.9628,1641.2382,303.4412640000001
Microsoft Word (Mobile App),1.0,18,30.6558,7.593456791986419,44.4906,56.3976,44.755199999999995
Microsoft Word (Mobile App),2.0,54,31.7142,20.78611719487902,45.8136,103.2318,51.92459999999998
Netflix (Mobile App),1.0,161,32.3568,530.935878299703,187.7904,2262.7458,447.6618782608693
Netflix (Mobile App),2.0,272,30.429000000000002,543.7227796924283,223.6437,2393.0802,463.89591397058814
Outlook (Mobile App),1.0,64,36.4392,142.36498764536742,159.0435,545.8698,202.63694062500005
Outlook (Mobile App),2.0,147,30.1266,157.44358054352858,127.7262,586.0512,192.70697142857142
Pinterest (Mobile App),1.0,162,30.3156,185.34174159814125,177.1119,712.341,239.30130000000017
Pinterest (Mobile App),2.0,371,30.3912,165.19553481728678,127.38600000000001,715.365,199.63112264150965
Sam's Club (Mobile App),1.0,1,58.0986,,58.0986,58.0986,58.0986
Sam's Club (Mobile App),2.0,1,42.0714,,42.0714,42.0714,42.0714
Sam's Club Scan & Go (Mobile App),1.0,3,36.7038,15.168558027709823,38.367,63.7686,46.279799999999994
Sam's Club Scan & Go (Mobile App),2.0,4,33.641999999999996,5.743475429563532,38.745000000000005,47.43899999999999,39.64275
Snapchat (Mobile App),1.0,287,30.4668,318.17304159480665,241.2396,1250.046,365.32554146341465
Snapchat (Mobile App),2.0,536,30.1266,324.03429840693406,208.5426,1249.5168,357.11909664179024
Tumblr (Mobile App),1.0,60,31.6386,394.6846106874855,231.2982,1778.5278,374.0064300000001
Tumblr (Mobile App),2.0,90,30.3156,614.274459496388,391.0977,2255.2236,647.0805599999998
Walmart (Mobile App),1.0,186,30.807,33.307470915551015,57.3426,154.9044,67.42646129032258
Walmart (Mobile App),2.0,416,30.051,36.63447029491088,63.636300000000006,156.4164,72.13984615384621
Yahoo Mail (Mobile App),1.0,144,30.429000000000002,197.55366128706794,191.2491,724.2858,260.0075625000001
Yahoo Mail (Mobile App),2.0,252,30.5046,177.81030205500107,175.392,701.3034,241.6024500000003
Yahoo Newsroom (Mobile App),1.0,12,33.075,101.28401005961585,95.2749,406.1988,117.00990000000002
Yahoo Newsroom (Mobile App),2.0,33,30.0888,107.86295161705621,99.225,432.0918,137.68478181818182
YouTube (Mobile App),1.0,652,30.429000000000002,591.4726961563217,272.5191,2497.5216,535.5955628834357
YouTube (Mobile App),2.0,1103,30.0888,563.4057843414415,260.3664,2487.3534,510.9458556663622
